7.6000    43.9202
7.5812    43.9108
7.5624    43.9023
7.5435    43.8948
7.5246    43.8882
7.5056    43.8824
7.4867    43.8774
7.4677    43.8732
7.4487    43.8696
7.4297    43.8667
7.4107    43.8643
7.4000    43.8632
7.3917    43.8632
7.3725    43.8645
7.3533    43.8691
7.3339    43.8757
7.3145    43.8835
7.2950    43.8914
7.2755    43.8987
7.2561    43.9030
7.2368    43.9030
7.2175    43.9030
7.2000    43.9030
7.1985    43.9024
7.1800    43.8949
7.1622    43.8863
7.1452    43.8766
7.1287    43.8660
7.1126    43.8546
7.0970    43.8427
7.0815    43.8302
7.0662    43.8175
7.0509    43.8045
7.0455    43.8000
7.0366    43.7908
7.0252    43.7749
7.0129    43.7596
7.0000    43.7499
6.9958    43.7477
6.9766    43.7387
6.9573    43.7313
6.9379    43.7255
6.9185    43.7212
6.8991    43.7180
6.8797    43.7160
6.8602    43.7154
6.8408    43.7154
6.8213    43.7154
6.8018    43.7154
6.8000    43.7154
6.7823    43.7166
6.7628    43.7188
6.7433    43.7217
6.7238    43.7251
6.7043    43.7287
6.6849    43.7324
6.6654    43.7359
6.6459    43.7392
6.6264    43.7418
6.6069    43.7437
6.6000    43.7442
6.5874    43.7442
6.5679    43.7433
6.5483    43.7406
6.5283    43.7369
6.5092    43.7327
6.4897    43.7283
6.4701    43.7243
6.4505    43.7212
6.4310    43.7203
6.4114    43.7203
6.4000    43.7203
6.3919    43.7215
6.3731    43.7263
6.3549    43.7333
6.3375    43.7424
6.3207    43.7533
6.3045    43.7656
6.2889    43.7791
6.2739    43.7935
6.2675    43.8000
6.2675    43.8088
6.2675    43.8260
6.2675    43.8448
6.2742    43.8647
6.2893    43.8853
6.3062    43.9061
6.3226    43.9267
6.3363    43.9465
6.3365    43.9653
6.3365    43.9824
6.3365    43.9975
6.3365    44.0000
6.3239    44.0106
6.3080    44.0227
6.2916    44.0337
6.2747    44.0438
6.2572    44.0528
6.2392    44.0608
6.2206    44.0679
6.2015    44.0740
6.2000    44.0744
6.1820    44.0796
6.1625    44.0851
6.1430    44.0904
6.1235    44.0952
6.1040    44.0993
6.0844    44.1027
6.0649    44.1036
6.0455    44.1036
6.0260    44.1036
6.0066    44.1036
6.0000    44.1036
5.9873    44.1016
5.9680    44.0982
5.9486    44.0946
5.9293    44.0909
